MGS_ID,BCG_SUBFIND_ID,Host_FoF_ID,M200,R200,Sigma_cl,Sigma_cl_err,N_cl
202,359091,234,1.61e+14,1147,412,33,52
203,256038,124,1.83e+14,1197,533,41,72
204,322987,190,1.06e+14,998,310,39,24
206,396004,284,1.10e+14,1010,521,69,36
207,155568,53,1.94e+14,1220,479,36,100
208,292469,158,1.77e+14,1185,490,51,63
209,144438,47,1.79e+14,1188,558,69,76
210,290315,156,1.70e+14,1168,690,49,66
212,373072,252,1.18e+14,1035,361,53,39
213,412328,309,1.03e+14,987,376,62,49
214,373669,253,1.25e+14,1053,516,45,64
216,294431,160,1.72e+14,1173,460,68,63
217,106814,29,1.33e+14,1077,469,43,67
218,374327,254,1.11e+14,1014,439,52,43
219,427248,332,1.00e+14,980,441,56,37
220,410080,305,1.07e+14,1000,411,41,53
222,258352,126,1.92e+14,1217,665,59,72
223,339339,209,1.37e+14,1087,535,49,54
224,355197,229,1.44e+14,1106,495,57,59
225,340753,211,1.29e+14,1065,479,57,49
227,302799,169,1.55e+14,1132,518,59,61
228,411683,308,1.06e+14,998,541,47,55
229,352898,226,1.14e+14,1023,484,60,49
230,320319,187,1.21e+14,1044,479,58,53
232,299287,165,1.51e+14,1122,570,50,52
233,225690,99,1.35e+14,1082,443,55,38
234,364561,241,1.20e+14,1040,448,62,50
236,291274,157,1.13e+14,1020,573,66,42
237,270904,138,1.58e+14,1140,429,46,79
242,203920,83,1.22e+14,1046,460,54,63
243,282174,148,1.23e+14,1048,399,59,57
245,331453,200,1.20e+14,1041,298,35,53
246,370119,248,1.08e+14,1004,458,56,47
248,372432,251,1.20e+14,1041,435,80,38
249,348989,221,1.23e+14,1049,367,78,51
251,360434,236,1.11e+14,1012,390,59,46
252,327853,196,1.44e+14,1105,429,46,53
254,318336,185,1.59e+14,1142,524,50,46
255,356838,231,1.22e+14,1045,422,48,71
256,317358,184,1.07e+14,1002,451,68,51
260,142409,46,1.00e+14,979,495,75,36
261,296363,162,1.38e+14,1091,572,67,54
262,324341,192,1.27e+14,1059,475,67,46
263,313633,180,1.45e+14,1107,327,53,47
264,192575,75,1.24e+14,1052,478,77,39
266,379410,261,1.03e+14,989,422,65,45
269,72657,16,1.03e+14,988,355,46,38
270,304751,171,1.84e+14,1199,495,48,65
272,405973,299,1.10e+14,1011,506,61,49
275,354377,228,1.05e+14,994,530,60,45
276,355973,230,1.41e+14,1099,439,43,72
277,303671,170,1.27e+14,1058,333,40,53
278,332312,201,1.51e+14,1124,425,61,63
279,382406,265,1.17e+14,1031,631,49,47
281,390684,276,1.07e+14,1001,442,53,47
282,436984,348,1.05e+14,994,396,65,34
285,329613,198,1.33e+14,1076,442,43,65
286,272151,139,1.46e+14,1111,528,42,79
287,349781,222,1.27e+14,1059,367,30,55
288,242311,112,1.68e+14,1164,425,40,74
293,402163,293,1.01e+14,981,456,56,49
294,377712,259,1.13e+14,1020,480,55,45
295,410630,306,1.09e+14,1007,440,73,36
296,369457,247,1.33e+14,1075,525,69,54
299,411108,307,1.01e+14,981,461,106,37
326,389199,274,1.06e+14,998,491,79,33
328,346454,218,1.24e+14,1050,462,53,47
331,370917,249,1.13e+14,1020,461,76,41
332,42632,7,1.30e+14,1067,437,58,42
333,229908,102,1.03e+14,987,523,71,57
340,326069,194,1.19e+14,1037,331,34,56
341,206778,85,1.23e+14,1048,440,50,63
347,344282,215,1.29e+14,1064,389,65,48
349,334022,203,1.67e+14,1160,553,47,58
351,415071,313,1.07e+14,1000,456,42,52
358,366925,244,1.28e+14,1061,445,46,48
361,287336,153,1.40e+14,1094,642,71,43
367,333104,202,1.61e+14,1147,611,65,49
372,334855,204,1.07e+14,1002,447,58,52
376,100239,26,1.16e+14,1029,368,47,55
381,391986,278,1.20e+14,1040,346,77,47
383,397296,286,1.15e+14,1024,368,41,37
392,398522,288,1.07e+14,1001,380,81,53
394,395298,283,1.03e+14,987,396,47,48
395,415728,314,1.17e+14,1032,500,66,39
400,431997,340,1.15e+14,1025,384,49,33
405,306833,173,1.02e+14,986,368,40,45
421,376271,257,1.24e+14,1051,522,58,38
424,365333,242,1.10e+14,1011,318,46,37
427,134865,42,1.36e+14,1084,440,57,61
428,433713,343,1.06e+14,998,361,45,41
431,447501,367,1.03e+14,988,434,64,31
434,316406,183,1.88e+14,1209,560,55,62
435,396773,285,1.32e+14,1073,603,79,35
444,367707,245,1.33e+14,1076,353,44,50
473,423339,326,1.00e+14,979,506,67,42
476,309686,176,1.54e+14,1131,537,49,69
478,383898,267,1.04e+14,990,444,62,56
511,358219,233,1.53e+14,1128,517,54,51
523,408634,303,1.09e+14,1009,449,53,52
537,11750,1,1.04e+15,2138,1267,94,107
540,380828,263,1.09e+14,1008,353,65,32
572,403479,295,1.17e+14,1030,423,45,58
573,17909,2,7.65e+14,1929,564,48,114
599,386010,270,1.14e+14,1021,391,45,50
605,305722,172,1.17e+14,1032,544,39,78
639,449116,370,1.06e+14,998,467,73,40
685,419273,320,1.11e+14,1013,351,38,50
745,407986,302,1.26e+14,1058,330,53,34
751,268726,136,1.33e+14,1076,460,52,60
1077,468521,403,1.04e+14,992,411,41,35
1189,387497,272,1.27e+14,1061,571,57,58
3954,33180,5,3.87e+14,1537,569,128,17
